tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
73682,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2232 Ortega St,1.0,Sidewalk: Curb side : Cutout,Private,12/16/1995,9.0,,37.75195044,-122.4876878
26358,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2799 San Jose Ave,3.0,Sidewalk: Curb side : Cutout,DPW,3/8/2005,3.0,3x3,37.71317821,-122.4533665
11578,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,3930 Judah St,1.0,Sidewalk: Curb side : Cutout,Private,11/12/2014,3.0,4x10,37.76054036,-122.504122
95886,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1851 20th Ave,1.0,Sidewalk: Curb side : Cutout,Private,7/27/2011,2.0,3x3,37.75321119,-122.4775649
159888,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,63 Niagara Ave,1.0,Sidewalk: Curb side : Cutout,Private,11/10/2018,3.0,3x9,37.71654596,-122.4429832
4263,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,4140 Cesar Chavez St,3.0,Sidewalk: Curb side : Cutout,Private,1/31/2013,3.0,3X3,37.74742697,-122.4326631
29208,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2002X 41st Ave,10.0,Sidewalk: Curb side : Cutout,DPW,3/18/2006,3.0,3X3,37.74938507,-122.4996918
84113,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,584 Leland Ave,1.0,Sidewalk: Curb side : Cutout,Private,6/5/2008,5.0,3x3,37.71475791,-122.4153434
92830,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1039 Santiago St,1.0,Sidewalk: Curb side : Cutout,Private,11/23/2009,3.0,,37.74471691,-122.4786426
25426,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,135X Mansell St,2.0,Sidewalk: Curb side : Cutout,DPW,6/10/2011,3.0,3x3,37.72101701,-122.4023075
90857,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2345 Cabrillo St,1.0,Sidewalk: Curb side : Cutout,DPW,2/19/2008,3.0,3x3,37.77437674,-122.4840456
255490,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,1345 Ocean Ave,,Sidewalk: Curb side : Cutout,Private,5/31/2018,3.0,3x3,37.72393166,-122.4567675
87559,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,4135 Judah St,1.0,Sidewalk: Curb side : Cutout,DPW,2/24/2008,3.0,3x3,37.76031018,-122.5066252
250564,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,501 El Camino Del Mar,1.0,Sidewalk: Curb side : Yard,Private,8/8/2019,3.0,Width 6ft,37.78760119,-122.4886862
